Category,Budget (?  ),Funding,Years,IP,Title
Dissemination,88090,AECID+CSIC ,2023-2025,Marian Pe?a,HACKATON 2023-2025: Fortalecimiento y mejora de la investigaci?n cient?fica y gesti?n de los recursos pesqueros en Iberoam?rica en base al desarrollo tecnol?gico a trav?s de la formaci?n en lenguajes de programaci?n de acceso libre y la creaci?n de comunidades abiertas.
I+D+?,,IEO,2022-2025,Marian Pe?a,"MESOPELAGICOS: estudio de especies meso y batipel?gicas en aguas del Mediterr?neo, Golfo de Vizcaya, Islas Canarias y en general noroeste At?ntico."
Dissemination,78090,"AECID, CSIC",2022-2024,R. Petit,"INVIPESCA-AECID: Fortalecimiento y mejora de la gesti?n de los recursos pesqueros en Iberoam?rica para un crecimiento econ?mico sostenible de la regi?n, basado en la investigaci?n, la innovaci?n y el desarrollo tecnol?gico a trav?s de la Red INVIPESCA."
I+D+?,18000,"Acci?n especial, Govern Balear",2022-2023,Marian Pe?a,MESOBALEAR: implantaci?n de estudios por m?todos ac?sticos en el mar Balear.
I+D+?,64900,Govern Balear,2020-2024,D. Alvarez,"BALEATUN: Baleares, un enclave ?nico para la sostenibilidad del At?n rojo: oceanograf?a, h?bitats, supervivencia e impacto socio-ecol?gico de su recuperaci?n. Projectes de recerca cient?fica i tecnol?gica per al per?ode"
Fisheries assessment,,Plan Nacional de datos,2019-,P. Reglero,TUNIBAL: Campa?a de oceanografia y larvas de tunidos alrededor de las Islas Baleares. Plan Nacional de Bases de datos.
I+D+?,,Ministerio de Econom?a y Competitividad,2017-2021,N. Aguilar,DEEPCOM:  Comunidades biol?gicas de aguas profundas mesopel?gicas de Canarias (CTM2017-88686-P)
I+D+?,133000,Ministerio de Econom?a y Competitividad,2017-2020,B.,"REMEDIOS: RolE of Mixing on phytoplankton bloom initiation, maintEnance and DIssipatiOn in the galician r?aS (CTM2016-75451-C2-1-R)L."
I+D+?,270000,Ministerio de Econom?a y Competitividad,2017-2019,S. Hern?ndez,Bathypelagic: BIOMASA Y FLUJO ACTIVO EN LA ZONA BATIPELAGICA  CTM2016-78853-R.
I+D+?,783879,Uni?n Europea,2017-2019,,QUIETMED  Joint programme on noise (D11) for the implementation of the Second Cycle of the MSFD in the MEDITERRANEAN SEAL
I+D+?,,IEO,2016-2018,P. V?lez,RAPROCAN
I+D+?,40000,Plan nacional de I+D+i,2015-2017.,E. Nogueira,SCAPA:la red trofica plantonica en el mar Cant?brico (sur Del Golfo De Vizcaya): estructura Y rutas del carbono biogenico (CTM2013-45089-R)
I+D+?,80000,Plan nacional de I+D+i,2015-2017.,No,CHALLENGE:Ecosistemas pelagicos cambiantes desde la perspectiva de los depredadores: avanzando en los esfuerzos de conservacion en aguas del sur de Europa (CTM2013-47032-R).
I+D+?,6700,ICES science fund,2014-2016,Marian Pe?a,MESOBROAD: Study of micronecton and macrozooplankton with a broadband echosounder. IEO\&Bergen university\&IMR. \\
I+D+?,250000,Ministerio de Econom?a y Competitividad,2013-2015,S. Hern?ndez,MAFIA: Migrants and Active Flux In the Atlantic Ocean CTM2012-39587-C04
Equipment,76000,Subprograma Estatal De Infrestructuras Cient?ficas Y Equipamiento,2013-2014,Marian Pe?a,Equipamiento para el procesado de datos de la multihaz ME70 a bordo del Margalef (IEOC13-4E-1737)
I+D+?,145684,Ministerio de Econom?a y Competitividad,2011-2013,No,"BALEARES: Ecolog?a larvaria y procesos de reclutamiento de crust?ceos dec?podos, cefal?podos y peces tele?steos en el Mar Balear CTM 2009-07944 MAR."
I+D+?,280000,Comisi?n Interministerial de Ciencia y Tecnolog?a (CICYT),2009-2012,E. Massut?,IDEADOS: Estructura y din?mica del ecosistema bentopel?gico de talud en dos zonas oligotr?ficas del Mediterr?neo occidental: una aproximaci?n multidisciplinar y a distintas escalas temporales en las Islas Baleares.
Fisheries assessment,,,2009-2010,,PELCOSAT: Biolog?a y din?mica poblacional de las especies de peque?os pel?gicos costeros del Golfo de C?diz (Subdivisi?n IXa ICES).
Fisheries assessment,5764085,"Gobiernos del Pais Vasco, Cantabria, Asturias y Galicia",2008-2012,Irigoien,ECOANCHOA 
Fisheries assessment,88886,,2008-2011,M. iglesias,DETAC: Desarrollo de T?cnicas Ac?sticas para aplicaci?n a pesquer?as de pel?gicos y otras especies marinas.
I+D+?,3000,AZTI and U. Aegean,2008-2009,Marian Pe?a,Aplicaci?n de ANN supervisadas y no supervisadas a los datos ac?sticos
Fisheries assessment,,Gov. vasco,2007-2020,G. Boyra,JUVENA campa?a ac?stica de juveniles de anchoa en el Golfo de Vizcaya.
Fisheries assessment,,Gobierno de Pais Vasco,2007-2009,A. Uriarte,PELAGICOS
Fisheries assessment,,Uni?n Europea,2006-2010,A. Uriarte,UNCOVER: UNderstanding the mechanism of stock recovery.
Fisheries assessment,525314.35,IEO,2003-2008,R. Abad,PELMED: Evaluaci?n de los recursos pel?gicos del Mediterr?neo espa?ol.
Fisheries assessment,,IEO,2003-2004,E. Massut?,ARGELIA 2003: Evaluaci?n de peque?os pel?gicos en aguas Argelinas.
Fisheries assessment,320000,"Uni?n europea, negociated procedure.",2002-2006,M. Gianoulaki,Acousmed: Harmonisation of the acoustic data in the Mediterranean
Fisheries assessment,1020462,Uni?n Europea,2002-2005,P. Fernandes,SIMFAMI: Species Identification Methods From Acoustic Multi-frecuency Information).
Fisheries assessment,2096667,Uni?n Europea,2002-2004,Y. Stratoudakis,SARDYN: Sardine Dynamics And Stock Structure In The North-east Atlantic
Equipment,1495804,Uni?n Europea,2002-2003,P. Carrera,SIGNOISE: Intercalibraci?n ac?stica de dos buques oceanogr?ficos en el Golfo de C?diz.
Fisheries assessment,,Uni?n Europea,2000-2002,P. Carrera,PELASSES: Direct abundance estimation and distribution of pelagic species in North East Atlantic Waters. Improving acoustic and daily egg production   methods for sardine and anchovy.
Fisheries assessment,,IEO,1999-2003,R. Abad,APEMED: Estimaci?n de ?ndices de abundancia y variabilidad de poblaciones de peque?os pel?gicos. Campa?a de prospecci?n ac?stica ECOMED.
